CATEGORY,ITEM_ID,ITEM_NAME,SALE_PRICE,REDUCED_PRICE,BENEFIT_PRICE,DISCOUNT_RATE,IS_FOOD,ITEM_FEATURE1,ITEM_FEATURE2,MEANING_SCORE,PRICE_DT,KURLY_HCT,KURLY_MCT
풋고추,84386150653,친환경 미인풋고추 미인고추 2kg 속리산 무농약 맵지않은 당뇨 고추 아삭이 오이,"28,000","28,000",0, - , 식품 , 친환경 ,,1400.0,2022-07-01,채소,오이_호박_고추
카레,29504837177,오뚜기3분쇠고기카레200g,"4,270","4,270",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,죽_스프_카레
커피,32152347507,프렌치카페 프렌치카페 커피믹스 300T,"27,900","27,900",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,커피
생선통조림,29041017233,치킨 오브 더 씨 청크 라이트 참치 통조림 1880g,"34,280","34,280",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,수산가공품
김,33119787732,광천해저김 김밥김 20g 10매,"10,970","10,970",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,김_미역_해조류
기능성음료,83063280386,몬스터 에너지 파이프라인 펀치 355ml,"1,240","1,240",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,음료_주스
당면,33018748871,알뜰당면(오뚜기 2.4K) 고구마 업소용 찰용 용,"16,800","16,800",0, - , 식품 ,,컬리스,,2022-07-01,샐러드_간편식,파스타_면류
참기름,82942255621,국산 참깨 100% 저온압착 다이닝푸드 참기름 100ml,"14,800","14,800",0, - , 식품 ,,,,2022-07-01,면_양념_오일,식용유_참기름_오일
라면,32118840300,라면 칼로리낮은 건강한 비건 오뚜기 진짬뽕 130g 4개,"18,310","18,310",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,파스타_면류
블루베리,30691429217,프레시데이 고창 베리월드 블루베리 원액 1L,"49,050","49,050",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,수입과일
기능성음료,31933986654,네이처드림 [네이처드림] 초유단백질 분말스틱 14포 x 3박스(총 42포),"22,900","22,900",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,음료_주스
즉석식품,30419766721,CJ 햇반 컵반 컵밥 빅컵밥 31종 골라담기,"1,730","1,730",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,떡볶이_튀김_순대
파,23704008076,정이가는동네  국내산 쪽파 깐쪽파 파 1단(약1Kg),"17,900","17,900",0, - , 식품 ,,,,2022-07-01,채소,양파_대파_마늘_배추
커피,1340233867,드립핑크 바로내린 슈프리모 500ml x 4병 더치(콜드브루 원액)커피,"22,300","22,300",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,커피
잼,213640096,베르데 토스트 스프레드 잼 갈릭 명란젓 (2종택1) 80g X [2개묶음],"13,300","13,300",0, - , 식품 ,,,,2022-07-01,베이커리_치즈_델리,잼_버터_스프레드
즉석식품,27912606138,오뚜기 오뚜기 맛있는 큰밥 300g x 18개,"23,780","23,780",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,떡볶이_튀김_순대
고춧가루,27380652310,[야무진] 고춧가루 김치용 2.5kg x 1개,"25,900","25,900",0, - , 식품 ,,,,2022-07-01,면_양념_오일,소금_설탕_향신료
고춧가루,541857572,진미 매운 고춧가루 130G(용기),"9,990","9,990",0, - , 식품 ,,,,2022-07-01,면_양념_오일,소금_설탕_향신료
콩,33062265942,늘봄식품 열풍 서리태 검은콩,"13,700","13,700",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,쌀_잡곡
김,30773339248,사조 대림선 두번구운 김밥용김 20g 단품 - 대림선 두번구운 김밥용김 20g,"1,320","1,320",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,김_미역_해조류
미역,189835529,[부산기장특산품] 미역국선물세트 (미역150g 참기름100ml 국간장120ml 천일염 70g),"55,000","55,000",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,김_미역_해조류
고추장,33174302144,해표 순창궁 태양초 100% 우리햅쌀 고추장 500g x2,"10,040","10,040",0, - , 식품 ,,,,2022-07-01,면_양념_오일,양념_액젓_장류
생선통조림,33131258201,사조 참치 통조림 마일드 200g x 36개,"116,280","116,280",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,수산가공품
미역,83542593126,오뚜기 옛날미역 100g x 5봉지 /,"17,990","17,990",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,김_미역_해조류
쌀,83680998202,단일품종 햅쌀 백미 신동진 쌀 20kg 밥맛좋은 쌀,"55,300","55,300",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,쌀_잡곡
스낵과자,29912205021,접이식 포커 테이블 보드게임 카지노 칩 접이식 카드,"47,890","47,890",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,과자_스낵_쿠키
사과,1580953966,[경상북도]맛있는 사과 8kg(45과내) -흠과-,"29,900","29,900",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,제철과일
커피,1340168367,아이브루 블랙커피 클래식 200T,"27,900","27,900",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,커피
수박,32462483334,[착한식탁]시원한 애플수박 700~900g 3수,"22,200","22,200",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,국산과일
고춧가루,1610444828,중식 고운 청양 고추가루 (진성 2.5kg) 고춧가루,"60,880","60,880",0, - , 식품 ,,,,2022-07-01,면_양념_오일,소금_설탕_향신료
탄산음료,26400277100,코카콜라 코카콜라 1.5L x 12페트,"39,800","39,800",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,음료_주스
커피,1339243848,구름상상 베트남 로부스타 리버 사올라 G1 웻 폴리시드 원두커피 200g(드립분쇄),"3,900","3,900",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,커피
김치,12569947507,태서식품 태백고원김치 3~5kg 모음전,"21,360","21,360",0, - , 식품 ,,,,2022-07-01,국_반찬_메인요리,김치_젓갈_장류
밤,22776503148,농협아름찬 달콤밤 (50G*3입),"8,390","8,390",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,제철과일
소금,57365852,대상 청정원 천일염 가는소금 500G,"3,440","3,440",0, - , 식품 ,,,,2022-07-01,면_양념_오일,소금_설탕_향신료
김,28161133754,[광천김] 소문난 광천김 뿌려먹는 김가루 400g,"8,010","8,010",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,김_미역_해조류
땅콩,10693476374,삼덕식품 21년산 국산 생땅콩 1kg / 볶음땅콩 800g,"16,900","16,900",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,견과류
커피,32413108794,핏츠커피 카페 도밍고 프레시 로스티드 미디엄 로스트 18개입,"123,560","123,560",0, - , 식품 ,,컬리온리,,2022-07-01,생수_음료_우유_커피,커피
고구마,31528981156,[자연맛남] 21년수확 해남 첫사랑 꿀고구마 5kg (특상/100g-300g),"14,500","14,500",0, - , 식품 ,,컬리온리,,2022-07-01,채소,고구마_감자_당근
잼,1510616180,[경상북도][한터식품]무설탕 수제잼 선물세트 4호(250g×2ea)(무방부제/돌잔치/답례품 추천),"14,900","14,900",0, - , 식품 ,,,,2022-07-01,베이커리_치즈_델리,잼_버터_스프레드
김치,1339276710,함평천지 전라도 열무김치 3kg,"19,800","19,800",0, - , 식품 ,,,,2022-07-01,국_반찬_메인요리,김치_젓갈_장류
과일가공품,452572522,델몬트 후르츠 칵테일 3kg 2개,"26,500","26,500",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,간편과일
분유,33193614651,앱솔루트 선천성분유 UCD 1단계 350g 1개,"23,300","23,300",0, - , 식품 ,,,,2022-07-01,베이비_키즈_완구,분유_간편 이유식
파,83444041164,친환경 실속형 대파 200g,"2,980","2,980",0, - , 식품 , 친환경 ,,149.0,2022-07-01,채소,양파_대파_마늘_배추
빵,83651672696,삼립 56시간 저온숙성 식빵 420G,"2,790","2,790",0, - , 식품 ,,컬리온리,,2022-07-01,베이커리_치즈_델리,식빵_빵류
김치,449807720,[푸른들] 양념한가득 전라남도 함평김치 열무김치 5kg,"30,000","30,000",0, - , 식품 ,,,,2022-07-01,국_반찬_메인요리,김치_젓갈_장류
고춧가루,1304269430,예천 화건 고춧가루 보통맛 500gx4,"51,900","51,900",0, - , 식품 ,,,,2022-07-01,면_양념_오일,소금_설탕_향신료
참외,81763135552,성주참외 10kg 5kg 2kg 가정용 선물용,"11,000","11,000",0, - , 식품 ,,컬리스,,2022-07-01,과일_견과_쌀,국산과일
국수,32760058459,두루포장 소면국수(청수 2.5K)/식당,"11,140","11,140",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,파스타_면류
찹쌀,33072704975,월드그린 싱싱영양통 무농약 찹쌀,"13,780","13,780",0, - , 식품 , 친환경 ,,689.0,2022-07-01,과일_견과_쌀,쌀_잡곡
오징어,28001240332,원양산 반건조 오징어 10미(700g내외),"20,900","20,900",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,오징어_낙지_문어
커피,1340198154,맥심 시그니처 블렌드 라이트밸런스 원두커피 1kgX3,"68,600","68,600",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,커피
참기름,32999559410,CJ백설 진한참기름320ml,"7,510","7,510",0, - , 식품 ,,,,2022-07-01,면_양념_오일,식용유_참기름_오일
생선통조림,32574752404,[신세계TV쇼핑](G) 동원 꽁치 400g 24캔,"159,900","159,900",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,수산가공품
고사리,30476967466,국내산 삶은 고사리 1kg,"27,750","27,750",0, - , 식품 ,,,,2022-07-01,채소,시금치_쌈채소_나물
빵,29692161983,삼립 정통 크림빵 3입,"2,640","2,640",0, - , 식품 ,,,,2022-07-01,베이커리_치즈_델리,식빵_빵류
마른멸치,82679906470,바다마음 볶음 조림용 가이리 멸치 500g (소멸),"16,900","16,900",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,건어물_다시팩
파,31422007790,파모든 싱싱한 대파 절단싱싱한 대파 특 3kg,"16,280","16,280",0, - , 식품 ,,,,2022-07-01,채소,양파_대파_마늘_배추
낙지,27591255961,200년 전통 강경시장 비빔낙지젓 500g,"18,700","18,700",0, - , 식품 ,,컬리온리,,2022-07-01,수산_해산_건어물,오징어_낙지_문어
마른오징어,82419261618,오징어해씨볼 80g 깐돌이 웨딩촬영간식 군것질거리 안주킹 이브콘 논두렁 밭두렁 과자 브이,990,990,0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,건어물_다시팩
고등어,420402955,[선물세트] 이동삼 안동간고등어 12손(24마리)/손당 350g,"36,900","36,900",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,생선류
껌,11977614268,롯데 왓따껌 풍선껌 모음전,310,310,0, - , 식품 ,,,,2022-07-01,간식_과자_떡,초콜릿_젤리_캔디
즉석식품,32859825937,[홈플러스]한맥힙플맛돈고깃집청국장찌개540G,"7,750","7,750",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,떡볶이_튀김_순대
과일가공품,32851375295,[첫출하] 꿀당도 부드러운 털복숭아 황도 1.5kg 중과 (10과내),"14,610","14,610",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,간편과일
탄산음료,33140791856,롯데 칠성사이다 1.8L 2입원산지 상세설명참조 - UnKnown,"22,450","22,450",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,음료_주스
고등어,82198970740,해물총각 간고등어 10마리 국내산 손질 자반고등어,"9,900","9,900",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,생선류
식초,82138138501,청정원 사과식초 900ml,"2,420","2,420",0, - , 식품 ,,,,2022-07-01,면_양념_오일,식초_소스_드레싱
생선통조림,83932965013,참치캔 x 10개 사조 동원 참치 캔 통조림,"8,490","8,490",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,수산가공품
혼합음료,29299697765,(제이큐) 사무실간식 비락식혜 1.8L 대 PT  8개,"46,000","46,000",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,음료_주스
콩,84248065231,열풍 서리태 20봉 국산 볶은 검정콩 간식 사무실 어르신 식단 관리 수험생 검은콩 과자,"10,900","10,900",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,쌀_잡곡
소시지,33127693869,목우촌 주부9단 프랑크소시지 500g x 2개,"16,900","16,900",0, - , 식품 ,,,,2022-07-01,국_반찬_메인요리,베이컨_햄_통조림
생수,1226514672,농심 백산수 2L 12병 생수,"11,760","11,760",0, - , 식품 ,,컬리온리,,2022-07-01,생수_음료_우유_커피,생수_탄산수
혼합음료,32743616626,음료수 도매 혼합 캔 정 식혜 175mLX30EA 비락 페트,"18,690","18,690",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,음료_주스
커피,1333820118,구름상상H 둘일때더외로운 오리지날 호환 캡슐커피 15개,"10,900","10,900",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,커피
김치,29631645680,종가집 공식판매몰 / 종가집 먹기좋게썰은 맛김치1.6kg(비닐),"14,100","14,100",0, - , 식품 ,,,,2022-07-01,국_반찬_메인요리,김치_젓갈_장류
된장,33208418314,해남에다녀왔습니다 땅끝 된장1kg 2,"51,030","51,030",0, - , 식품 ,,,,2022-07-01,면_양념_오일,양념_액젓_장류
밤,33186187821,홈플러스 시그니처 우리나라 맛밤 80G x 3,"24,400","24,400",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,제철과일
카레,32682446781,에스앤비 골든 카레 아주 매운맛 175055,"18,900","18,900",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,죽_스프_카레
참기름,1159034060,국산 참기름 100ml,"23,000","23,000",0, - , 식품 ,,,,2022-07-01,면_양념_오일,식용유_참기름_오일
커피,1340200266,드립핑크 산지별 갓볶은 드립백커피 10g x 30봉,"22,300","22,300",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,커피
식용유,32961627796,옥수수100% 백설 옥수수 식용유 1.8L (4개입),"59,080","59,080",0, - , 식품 ,,,,2022-07-01,면_양념_오일,식용유_참기름_오일
커피,1340195174,드립핑크 갓볶은 콜롬비아 슈프리모 10g x 18봉 드립백커피,"15,500","15,500",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,커피
수박,33005476778,[농협] 달콤한 꿀 수박 8kg이상(특품) / 에어셀 안전배송,"26,800","26,800",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,국산과일
스낵과자,30369200890,[셀럽하우스] 오리온 포카칩 어니언맛 66g x 20개,"48,130","48,130",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,과자_스낵_쿠키
밤,29792052130,씨제이제일제당 [CJ] 맛밤/맛군밤/골라담기,"18,018","18,018",0, - , 식품 ,,컬리온리,,2022-07-01,과일_견과_쌀,제철과일
즉석식품,26256721122,[신세계백화점]CJ제일제당 (신세계본점) CJ 햇반흑미밥 210g 3개입,"6,100","6,100",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,떡볶이_튀김_순대
즉석식품,21628288344,오뚜기 맛있는 쇠고기 미역 국밥 162g  본상품선택,"3,290","3,290",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,떡볶이_튀김_순대
북어채,27580683224,롯데역사 (주) 팡팡물산 북어채500g - [롯데백화점],"20,660","20,660",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,건어물_다시팩
생선통조림,30661156672,사조참치 살코기 안심따개  100g  660개,"1,078,500","1,078,500",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,수산가공품
식초,23921518806,유기농 발사믹식초 500ml/모데나/발사믹/포도 식초,"16,110","16,110",0, - , 식품 , 친환경 ,,805.5,2022-07-01,면_양념_오일,식초_소스_드레싱
냉동식품,32686163432,수납함 향채 교자 냉동 만두 가정용 케이스 혼돈이다 전용 계란 4130360490,"33,290","33,290",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,아이스크림
콩,82240960369,유기농 서리태 검은콩 500g,"11,500","11,500",0, - , 식품 , 친환경 ,컬리스,575.0,2022-07-01,과일_견과_쌀,쌀_잡곡
참외,83012637667,껍질째 먹는 유기농 성주참외 농장 3kg 무농약 친환경 못난이 참외 임산부,"23,900","23,900",0, - , 식품 , 친환경 ,,1195.0,2022-07-01,과일_견과_쌀,국산과일
쌀,8856883096,국산 찰흑미2kg(500gx4개) 검정쌀 우체국택배,"7,900","7,900",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,쌀_잡곡
아이스크림,30817715701,롯데푸드 돼지바핑크 30개 단품 - 쿨아이스크림 돼지바핑크 30개,"14,000","14,000",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,아이스크림
마른오징어,33149770064,(당일바리)동해안 영덕 마른 오징어 1.7 10미 (850g 내외),"51,340","51,340",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,건어물_다시팩
풋고추,83443779887,롱그린 풋고추(200g/봉),"1,650","1,650",0, - , 식품 ,,,,2022-07-01,채소,오이_호박_고추
미역,287103432,완도명가 자른미역 20gx10,"11,900","11,900",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,김_미역_해조류
파,30019225251,쪽파 국내산 손질 흙쪽파 1단 1kg 내외,"11,950","11,950",0, - , 식품 ,,,,2022-07-01,채소,양파_대파_마늘_배추
냉동식품,2035502906,롯데 의성마늘 고기왕교자385g*2 4개,"24,500","24,500",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,아이스크림
현미,19255511885,예천농협 옹골진 현미쌀 1kg,"10,360","10,360",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,쌀_잡곡
냉동식품,386843999,[고향의맛] 전자레인지 3분OK 간편한 김치만두 180gX20팩,"24,270","24,270",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,아이스크림
김,1168336791,[오뚜기] 미니 도시락 김 240개 (2g*10개입)X24봉,"34,900","34,900",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,김_미역_해조류
즉석식품,83935958570,오뚜기 새송이 쇠고기죽 285g 12개,"26,040","26,040",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,떡볶이_튀김_순대
즉석식품,30375937525,동원 동원 양반 쇠고기죽 287.5G X 3개,"13,130","13,130",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,떡볶이_튀김_순대
호박,82138009234,미니 밤호박 단호박 밤단호박 보우짱 해남 제주 3kg 5kg 10kg,"15,900","15,900",0, - , 식품 ,,,,2022-07-01,채소,오이_호박_고추
키위,31604588391,[익스프레쉬]제스프리 뉴질랜드 골드키위  점보 30개입 3.9kg 내외,"50,310","50,310",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,수입과일
김치,27789480787,[CJ프레시웨이] 이츠웰 포기김치 5kg,"30,310","30,310",0, - , 식품 ,,,,2022-07-01,국_반찬_메인요리,김치_젓갈_장류
고추장,24365517456,청정원 순창 쇠고기볶음고추장 2개 골라담기,"11,000","11,000",0, - , 식품 ,,컬리온리,,2022-07-01,면_양념_오일,양념_액젓_장류
라면,83443360571,[노브랜드] 육개장컵라면 79g,580,580,0, - , 식품 ,,,,2022-07-01,샐러드_간편식,파스타_면류
잼,1249852435,알리드 라즈베리 잼 플라스크 410g 4개 유럽 직구,"48,200","48,200",0, - , 식품 ,,,,2022-07-01,베이커리_치즈_델리,잼_버터_스프레드
된장,26485875013,식당 식자재 재료 샘표식품 믹스된장  1kg,"13,130","13,130",0, - , 식품 ,,,,2022-07-01,면_양념_오일,양념_액젓_장류
잼,1510645978,[경상북도][한터식품]무설탕 수제잼 선물세트 2호(250g×3ea)(무방부제/돌잔치/답례품 추천),"23,900","23,900",0, - , 식품 ,,,,2022-07-01,베이커리_치즈_델리,잼_버터_스프레드
밤,33169850534,CJ 유기농 맛밤 42gx17봉/맛밤 단밤 약밤,"26,200","26,200",0, - , 식품 , 친환경 ,,1310.0,2022-07-01,과일_견과_쌀,제철과일
참기름,30771862330,진한참기름80ml - C0196 CJ백설 진한참기름80ml,"6,680","6,680",0, - , 식품 ,,,,2022-07-01,면_양념_오일,식용유_참기름_오일
기능성음료,23991458204,다부르 실라짓골드 20정 3BOX IN 1SET (총60정) 천연자양강장제,"30,000","30,000",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,음료_주스
사과,1909657439,경북에서 자란 달콤한 부사 사과 (정품/가정용/주스용) 3kg~,"12,900","12,900",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,제철과일
혼식곡,31201907859,미실란 수라가자 유기농 흑미 쌀 900g,"9,000","9,000",0, - , 식품 , 친환경 ,,450.0,2022-07-01,과일_견과_쌀,쌀_잡곡
맛김,29907233024,김가루 조미 해농 500g 볶은김 가루김 볶음김 식당용,"25,143","25,143",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,김_미역_해조류
생선통조림,29716914904,[동원] 꽁치 300g x4캔,"18,900","18,900",0, - , 식품 ,,컬리스,,2022-07-01,수산_해산_건어물,수산가공품
사과,29552240739,식탐대첩 프리미엄 엔비사과 10kg (36~38과내),"77,900","77,900",0, - , 식품 ,,컬리온리,,2022-07-01,과일_견과_쌀,제철과일
김,82424074742,대천 알찬재래 구운김밥용김 23g 10봉 맛있는 김,"15,000","15,000",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,김_미역_해조류
스낵과자,1107563209,알루이 스트로베리메가촉(180g)_N7022000,"1,400","1,400",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,과자_스낵_쿠키
커피,1334657927,동원 덴마크 오리진커피 토피넛라떼 250ml 24입,"30,900","30,900",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,커피
소시지,19660024716,목우촌 주부9단 비엔나 소시지 1kg,"8,450","8,450",0, - , 식품 ,,컬리온리,,2022-07-01,국_반찬_메인요리,베이컨_햄_통조림
맛김,83552717677,풀무원 재래김 도시락김 16봉x6개(1박스),"30,000","30,000",0, - , 식품 ,,컬리스,,2022-07-01,수산_해산_건어물,김_미역_해조류
냉동식품,1338438654,(아워홈) 탕수육 1kg 2개,"19,200","19,200",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,아이스크림
참기름,1926307847,초록들 참기름 (국산참깨/500ml),"68,400","68,400",0, - , 식품 ,,,,2022-07-01,면_양념_오일,식용유_참기름_오일
호박,32187560146,꼭지네 국산 애호박 특품 2개,"6,790","6,790",0, - , 식품 ,,,,2022-07-01,채소,오이_호박_고추
현미,83032531620,[두보]코스트코 홈플러스 20년산 국산 검정 현미800g 당뇨에좋은 곡물 잡곡 당뇨잡곡밥,"4,890","4,890",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,쌀_잡곡
딸기,32951296637,[딜라잇가든]냉동 가당딸기 1kg x 3,"16,900","16,900",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,국산과일
냉동식품,32332361413,돼지즉석막창 400g 2봉 특제소스 100g 2봉 과일숙성,"35,350","35,350",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,아이스크림
커피,1339188236,구름상상 땅콩보다고소한 블렌딩 원두커피 500g(에스프레소분쇄),"11,800","11,800",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,커피
전복,28563339029,완도 활 전복 선물세트 1kg 13-15미 대전복 선물부직포가방_국내산(양식),"43,900","43,900",0, - , 식품 ,,컬리온리,,2022-07-01,수산_해산_건어물,해산물_조개류
배,30541123612,고당도 프리미엄 나주배 선물용 선물세트 7.5kg,"34,110","34,110",0, - , 식품 ,,컬리스,,2022-07-01,과일_견과_쌀,제철과일
파스타면,32946921909,MISURA 미주라 통밀 펜네떼 500g 1개 PENNETTE 파스타면 통밀파스타 펜네 식이섬유,"2,780","2,780",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,파스타_면류
찹쌀,1304272255,[황금들녘] 웰빙 현미찹쌀3kg(1kg×3봉),"22,730","22,730",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,쌀_잡곡
된장,33184390460,다담 고깃집 된장찌개 양념,"65,000","65,000",0, - , 식품 ,,,,2022-07-01,면_양념_오일,양념_액젓_장류
생수,32698669931,지리산 물하나 생수 2L 12개입,"6,820","6,820",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,생수_탄산수
현미,82490814262,백미보다 맛좋고 부드러운 프리미엄 현미쌀 골든밥95프로4kg,"28,500","28,500",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,쌀_잡곡
낙지,31573861675,냉동 활 낙지 850g 6미 150 200,"30,096","30,096",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,오징어_낙지_문어
마른오징어,21271014784,아라메 마른오징어 1.7kgx20축,"2,304,000","2,304,000",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,건어물_다시팩
찹쌀,27019637444,국산 찹쌀 2kg,"7,700","7,700",0, - , 식품 ,,컬리온리,,2022-07-01,과일_견과_쌀,쌀_잡곡
김,2007554694,맛있는 서울김 재래김 10봉,"12,900","12,900",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,김_미역_해조류
혼합음료,2014222408,비락식혜 238mL 24캔,"15,500","15,500",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,음료_주스
밤,1332929185,[바보사랑] 2000피스 별이 빛나는 밤 직소퍼즐 (102x73cm) PL2105,"40,000","40,000",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,제철과일
오징어,26135732837,[청정바다]원양산 반건조 오징어 500g 내외 피데기,"26,800","26,800",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,오징어_낙지_문어
풋고추,83715899275,모모야 밥에 맛있는 다진 풋고추 된장 100g 12팩,"68,400","68,400",0, - , 식품 ,,,,2022-07-01,채소,오이_호박_고추
잼,30297499138,과일잼 오뚜기 딸기잼 500g,"8,080","8,080",0, - , 식품 ,,,,2022-07-01,베이커리_치즈_델리,잼_버터_스프레드
혼합음료,1140777264,[랭킹닭컴] 타브카 에너지 드링크 혼합 355mlx12캔(오리지널6 버스트6),"19,600","19,600",0, - , 식품 ,,,,2022-07-01,생수_음료_우유_커피,음료_주스
스낵과자,1994724755,시그니처 까망베르볼 70G,"1,000","1,000",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,과자_스낵_쿠키
미역,1269436028,프리미엄 기장자연산돌미역1호400g,"159,000","159,000",0, - , 식품 ,,,,2022-07-01,수산_해산_건어물,김_미역_해조류
콩,12065132402,햇 볶은 서리태 1kg 볶음 검은콩 검정콩 뻥튀기 속청,"9,900","9,900",0, - , 식품 ,,,,2022-07-01,과일_견과_쌀,쌀_잡곡
고구마,29362997809,해남 호박고구마 10kg(중/50~100g),"26,900","26,900",0, - , 식품 ,,,,2022-07-01,채소,고구마_감자_당근
김치,32841680830,종가집 포기김치 900g x 2 + 열무김치 900g,"25,290","25,290",0, - , 식품 ,,,,2022-07-01,국_반찬_메인요리,김치_젓갈_장류
참기름,27606536354,국내산 참기름180ml,"24,900","24,900",0, - , 식품 ,,,,2022-07-01,면_양념_오일,식용유_참기름_오일
냉동식품,1488325959,[엔젤쿡] 자연담은 거문도 해풍쑥 생쑥송편4팩 선물세트,"43,900","43,900",0, - , 식품 ,,,,2022-07-01,간식_과자_떡,아이스크림
파,31262210845,국내산 대파 3.8~4kg,"11,490","11,490",0, - , 식품 ,,컬리온리,,2022-07-01,채소,양파_대파_마늘_배추
카레,30987239597,카레 순한맛 매운 에스비 골드카레 다이어트 카레소스 카레볶음밥 커,"4,590","4,590",0, - , 식품 ,,,,2022-07-01,샐러드_간편식,죽_스프_카레
고추장,31679171240,해찬들 태양초 골드고추장2kg 2개 - 시크릿베이스,"23,670","23,670",0, - , 식품 ,,,,2022-07-01,면_양념_오일,양념_액젓_장류
간장,30597841589,청정원 햇살담은 국간장 840ml,"6,200","6,200",0, - , 식품 ,,,,2022-07-01,면_양념_오일,양념_액젓_장류
